Genus species,Data_Name_As,Habitat,locality,lineage,musrego,Sex,SVL,HLL,HW,FLL,IN,EN,EY,THIRD,FTD,Source,HLLsvl,FLLsvl,HWsvl,THIRDsvl,INsvl,ENsvl,EYsvl,FOURTHsvl,PC1,PC2,PC3,PC4
Xenorhina lacrimosa,Xenorhina lacrimosa,,,,SAMA R65069 ,M,37.3,15.8,12.7,,2.4,3.5,2.4,0.8,1.5,Gunther & Richards 2021,,,,,,,,,,,,
Xenorhina lacrimosa,Xenorhina lacrimosa,,,,SAMA R65070 ,M,34.5,15.3,11.4,,2.3,3.4,2.2,0.9,1.4,Gunther & Richards 2021,,,,,,,,,,,,
Xenorhina lacrimosa,Xenorhina lacrimosa,,,,SAMA R65071,subF,35.1,15.4,13.1,,2.2,3,2.1,0.9,1.3,Gunther & Richards 2021,,,,,,,,,,,,
Xenorhina perexigua,Xenorhina perexigua,,,,SAMA R71645,M,16.7,7.6,5.5,,1.1,1.4,1.3,0.35,0.6,Gunther & Richards 2021,,,,,,,,,,,,
Xenorhina pohleorum,Xenorhina pohleorum,,,,SAMA R71644,M,20.3,9,6.4,,1.2,1.6,1.3,0.4,0.7,Gunther & Richards 2021,,,,,,,,,,,,
Xenorhina pohleorum,Xenorhina pohleorum,,,,SAMA R60217,M,21.2,9.4,6.5,,1.3,1.7,1.2,0.4,0.7,Gunther & Richards 2021,,,,,,,,,,,,
Xenorhina thiekeorum,Xenorhina thiekeorum,,,,SAMA R71651,,23,9.2,7.5,,1.3,1.9,1.8,0.5,0.7,Gunther & Richards 2021,,,,,,,,,,,,
Xenorhina thiekeorum,Xenorhina thiekeorum,,,,ZMB 91131,,20.7,9.2,6.9,,1.2,1.7,1.6,0.5,0.7,Gunther & Richards 2021,,,,,,,,,,,,
Xenorhina thiekeorum,Xenorhina thiekeorum,,,,PNGNM ,,23.5,10.1,7.7,,1.3,2,1.6,0.6,0.8,Gunther & Richards 2021,,,,,,,,,,,,
Xenorhina thiekeorum,Xenorhina thiekeorum,,,,SAMA R71652,,22.6,9.7,7.3,,1.4,1.9,1.7,0.6,0.7,Gunther & Richards 2021,,,,,,,,,,,,
Xenorhina tillacki,Xenorhina tillacki,,,,SAMA R65067,M,20.3,9.1,7.6,,1.3,1.7,1.7,0.5,0.8,Gunther et al. 2014,,,,,,,,,,,,
Xenorhina tillacki,Xenorhina tillacki,,,,SAMA R65068,M,21.7,9.5,7.9,,1.3,1.7,1.7,0.5,0.8,Gunther et al. 2014,,,,,,,,,,,,
Xenorhina tillacki,Xenorhina tillacki,,,,ZMB 79532,M,18.2,8.7,7,,1.2,1.6,1.5,0.4,0.8,Gunther et al. 2014,,,,,,,,,,,,
Xenorhina wiegankorum,Xenorhina wiegankorum,,,,SAMA R71653,,32.4,14.4,10.7,,1.9,2.6,2,0.8,1.2,Gunther & Richards 2021,,,,,,,,,,,,
Xenorhina wiegankorum,Xenorhina wiegankorum,,,,SJR10373,,32,14.9,11.3,,2.1,2.7,2.1,0.9,1.3,Gunther & Richards 2021,,,,,,,,,,,,
Xenorhina wiegankorum,Xenorhina wiegankorum,,,,ZMB 91132,,34.9,16,11.9,,2.2,2.7,2.2,0.7,1.2,Gunther & Richards 2021,,,,,,,,,,,,
Xenorhina wiegankorum,Xenorhina wiegankorum,,,,SAMA R71654,,33.1,15.5,11.5,,2.1,2.5,2.2,0.8,1.3,Gunther & Richards 2021,,,,,,,,,,,,
Xenorhina wiegankorum,Xenorhina wiegankorum,,,,SAMA R65073,,35.7,15.6,11.4,,2,2.5,2.2,0.8,1.4,Gunther & Richards 2021,,,,,,,,,,,,
Choerophryne pandanicola,Albericus pandanicolus,,,,SAMA R66101,M,19.6,7,8,,1.9,1.9,2.5,1.4,1.2,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne pandanicola,Albericus pandanicolus,,,,SAMA R66102,M,18.4,7,6.6,,1.6,1.7,2.1,1.2,1.1,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne pandanicola,Albericus pandanicolus,,,,ZMB 76958 ,M,18,6.8,6.7,,1.9,1.7,2.5,1.2,1.1,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne pandanicola,Albericus pandanicolus,,,,ZMB 76959 ,M,19.3,6.6,6.7,,1.7,1.5,2.4,1.3,1.2,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne brevicrus,Albericus brevicrus,,,,ZMB 76743,M,14.4,5.1,6.1,,1.4,1.4,2,0.8,0.5,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne brevicrus,Albericus brevicrus,,,,ZMB 76744,F,17.7,5.3,6.2,,1.4,1.3,2.2,0.6,0.6,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne brevicrus,Albericus brevicrus,,,,ZMB 76745,M,15.1,5.2,6.5,,1.4,1.4,1.8,0.65,0.45,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne brevicrus,Albericus brevicrus,,,,UPNG 10060,subM,13.4,4.7,5.8,,1.2,1.1,1.7,0.55,0.45,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne brevicrus,Albericus brevicrus,,,,SAMAR 66097,M,14.5,4.8,6,,1.2,1.2,1.8,0.65,0.5,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne brevicrus,Albericus brevicrus,,,,SAMA R66098,M,14.8,5,6.3,,1.5,1.25,1.8,0.65,0.65,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne brevicrus,Albericus brevicrus,,,,ZMB 76742,M,15,5,6.4,,1.5,1.2,1.9,0.7,0.6,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne brevicrus,Albericus brevicrus,,,,SAMA R66099,M,14.3,4.9,6.1,,1.35,1.15,1.8,0.6,0.6,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne brevicrus,Albericus brevicrus,,,,SAMA R66100,M,17.8,5.6,7.2,,1.6,1.35,2.2,1,0.8,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne brevicrus,Albericus brevicrus,,,,UPNG 10061,M,18.2,5.9,6.9,,1.7,1.5,2.1,0.75,0.8,Gunther & Richards 2011,,,,,,,,,,,,
Cophixalus tenuidactylus,Cophixalus tenuidactylus,,,,SAMA R66103,M,20.3,6.3,8.5,,2,1.3,2.1,0.5,0.5,Gunther & Richards 2011,,,,,,,,,,,,
Cophixalus tenuidactylus,Cophixalus tenuidactylus,,,,SAMA R66104,F,23.5,7.6,9,,2.2,1.7,2.6,0.45,0.55,Gunther & Richards 2011,,,,,,,,,,,,
Cophixalus tenuidactylus,Cophixalus tenuidactylus,,,,SAMA R66105,M,20.3,6.7,7.5,,2,1.5,2.4,0.4,0.45,Gunther & Richards 2011,,,,,,,,,,,,
Cophixalus tenuidactylus,Cophixalus tenuidactylus,,,,ZMB 76746,M,18.4,6.6,7.7,,2,1.4,2.15,0.35,0.45,Gunther & Richards 2011,,,,,,,,,,,,
Cophixalus tenuidactylus,Cophixalus tenuidactylus,,,,ZMB 76747,F,20.9,7.1,7.5,,1.9,1.6,2.2,0.5,0.6,Gunther & Richards 2011,,,,,,,,,,,,
Cophixalus tenuidactylus,Cophixalus tenuidactylus,,,,ZMB 76748,subM,17.8,6.3,7.2,,1.8,1.5,2,0.5,0.5,Gunther & Richards 2011,,,,,,,,,,,,
Cophixalus tenuidactylus,Cophixalus tenuidactylus,,,,SAMA R66106,subM,16.8,6.3,7,,1.6,1.25,2,0.5,0.5,Gunther & Richards 2011,,,,,,,,,,,,
Cophixalus tenuidactylus,Cophixalus tenuidactylus,,,,UPNG 10062,subM,16.5,6.2,6.5,,1.65,1.2,2,0.35,0.4,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne streiffeleri,Oreophryne streiffeleri,,,,ZMB 76749,M,22.4,9.3,8.4,,2.1,2,2.7,1.4,1.4,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne streiffeleri,Oreophryne streiffeleri,,,,UPNG 10065,M,21.6,9.9,8.7,,2.1,1.9,2.6,1.6,1.5,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne streiffeleri,Oreophryne streiffeleri,,,,UPNG 10066,F,22.5,9.7,8.5,,2,1.7,2.8,1.5,1.4,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne streiffeleri,Oreophryne streiffeleri,,,,ZMB 76750,M,21.2,9.3,8.4,,2.2,1.9,2.5,1.3,1.4,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne streiffeleri,Oreophryne streiffeleri,,,,ZMB 76751,F,24.6,10.2,9.1,,2.3,2,3,2,1.8,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne streiffeleri,Oreophryne streiffeleri,,,,SAMA R66117,M,21.7,9.5,8.9,,2,1.9,2.5,1.5,1.4,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne streiffeleri,Oreophryne streiffeleri,,,,SAMA R66118,M,22.4,9.3,8.7,,2.1,1.8,2.5,1.7,1.5,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne streiffeleri,Oreophryne streiffeleri,,,,ZMB 76752,M,20.7,9.2,8,,2.1,1.9,2.5,1.4,1.3,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne streiffeleri,Oreophryne streiffeleri,,,,SAMA R66119,M,20.2,8.8,7.9,,1.9,1.7,2.6,1.4,1.3,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne streiffeleri,Oreophryne streiffeleri,,,,UPNG 10067,subM,14.9,6.2,5.9,,1.5,1.3,1.9,0.7,0.6,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne streiffeleri,Oreophryne streiffeleri,,,,SAMA R66120,F,25.1,10.1,9.5,,2.1,1.8,3.1,2.1,1.8,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne graminis,Oreophryne graminis,,,,SAMA R66121,M,16.5,6,6.8,,1.6,1.2,2,0.9,0.75,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne graminis,Oreophryne graminis,,,,SAMA R66122,M,17.2,6.1,6.7,,1.8,1.4,2,1,1,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne graminis,Oreophryne graminis,,,,ZMB 76753,M,17.4,6.2,6.7,,1.9,1.3,2.2,1,1,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne graminis,Oreophryne graminis,,,,SAMA R66123,M,18.3,6.4,6.9,,1.8,1.5,2.2,1,0.95,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne graminis,Oreophryne graminis,,,,SAMA R66124,M,16.8,6.1,6.5,,1.6,1.25,1.9,0.8,0.9,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne graminis,Oreophryne graminis,,,,ZMB 76754,M,15.7,5.9,6,,1.55,1.2,1.9,0.75,0.65,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne graminis,Oreophryne graminis,,,,SAMA R66125,M,17.3,5.9,6.4,,1.6,1.3,2,0.8,0.85,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne graminis,Oreophryne graminis,,,,ZMB 76755,F,22.1,7.8,8,,2.2,1.6,2.5,1.3,1.2,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne graminis,Oreophryne graminis,,,,ZMB 76756,M,18.5,6.4,6.4,,1.8,1.2,2.3,1,1,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne graminis,Oreophryne graminis,,,,UPNG 10068,M,17.4,6.1,7,,1.7,1.5,2.1,0.75,0.7,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne graminis,Oreophryne graminis,,,,UPNG 10069,M,16.3,6.4,6.5,,1.8,1.35,2,0.8,0.8,Gunther & Richards 2011,,,,,,,,,,,,
Oreophryne graminis,Oreophryne graminis,,,,UPNG 10070,M,15.8,5.9,6.1,,1.5,1.1,2,0.75,0.75,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne cf. alpestris,Albericus cf. alpestris,,,,SAMA R66107,M,19.2,6,8,,1.6,1.6,2.3,0.7,0.7,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne cf. alpestris,Albericus cf. alpestris,,,,UPNG 10063,M,21.4,6.2,8.5,,1.7,1.75,2.3,0.8,0.7,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne cf. alpestris,Albericus cf. alpestris,,,,ZMB 76757,M,19.4,5.8,8.8,,1.6,1.6,2.2,0.7,0.6,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne cf. alpestris,Albericus cf. alpestris,,,,ZMB 76758,M,22.6,6.5,9.1,,1.8,1.5,2.4,0.9,0.8,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne cf. alpestris,Albericus cf. alpestris,,,,SAMA R66108,F,27.3,7.6,11.2,,2,2,2.6,1,1,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne cf. alpestris,Albericus cf. alpestris,,,,SAMA R66110,M,20.5,5.9,8.3,,1.65,1.8,2.2,0.7,0.6,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne cf. alpestris,Albericus cf. alpestris,,,,SAMA R66112,M,21.3,6.1,8.5,,1.45,1.8,2.2,0.85,0.75,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne cf. alpestris,Albericus cf. alpestris,,,,SAMA R66113,M,22.2,6.5,8.9,,1.6,1.8,2.1,0.85,0.8,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne cf. alpestris,Albericus cf. alpestris,,,,ZMB 76759,M,21.6,6.1,8.6,,1.65,1.6,2.2,0.85,0.75,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne cf. alpestris,Albericus cf. alpestris,,,,SAMA R66115,M,19,5.5,8.1,,1.5,1.4,2,0.85,0.75,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne cf. alpestris,Albericus cf. alpestris,,,,UPNG 10064,M,20.5,6.1,8.2,,1.55,1.7,2.1,0.9,0.75,Gunther & Richards 2011,,,,,,,,,,,,
Choerophryne cf. alpestris,Albericus cf. alpestris,,,,SAMA R66116,M,21.5,5.5,8.9,,1.5,1.45,2.3,0.85,0.75,Gunther & Richards 2011,,,,,,,,,,,,
